Movie_name,Rating,Votes,Duration,genre
Wynonna Earp: Vengeance,5.5, (1.7K),1h 36m,horror
Year 10,5.4, (2K),1h 36m,horror
Handling the Undead,5.3, (4.6K),1h 37m,horror
The Radleys,5.0, (3K),1h 55m,horror
The Matriarch,6.2, (25),1h 22m,horror
Death's Sonata,8.3, (472),1h 43m,horror
Imaginary,4.7, (18K),1h 44m,horror
Noise,6.3, (97),1h 33m,horror
River of Blood,5.0, (2K),1h 26m,horror
Latency,4.2, (3K),1h 34m,horror
Milk & Serial,6.6, (2.7K),1h 2m,horror
Black,7.1, (2.9K),1h 55m,horror
Stream,5.9, (9.5K),2h 3m,horror
The Haunted Apartment: Miss K,5.6, (489),1h 43m,horror
The Forbidden Camp: Mass Possession,6.1, (375),1h 52m,horror
Bystanders,4.0, (380),1h 22m,horror
Devon,2.6, (310),1h 12m,horror
The Moogai,5.4, (402),1h 26m,horror
Night of the Zoopocalypse,6.0, (952),1h 31m,horror
Rippy,4.2, (982),1h 23m,horror
The Killgrin,6.2, (79),1h 23m,horror
Pins & Needles,6.8, (24),1h 35m,horror
Carved,4.4, (2.9K),1h 35m,horror
Destroy All Neighbors,5.3, (2.1K),1h 25m,horror
House of Spoils,5.0, (4K),1h 41m,horror
Test Screening,6.9, (68),1h 32m,horror
Bureau 749,3.9, (584),2h 3m,horror
Krazy House,4.8, (1.5K),1h 29m,horror
Room Service,3.9, (324),47m,horror
The Mouse Trap,2.5, (3.6K),1h 20m,horror
The Waves of Madness,5.8, (112),1h 8m,horror
The Dead Thing,4.7, (1K),1h 34m,horror
Munkar,5.2, (558),1h 27m,horror
The Containment,4.7, (62),1h 22m,horror
Handsome Guys,6.5, (978),1h 41m,horror
Dominion of Darkness,5.6, (859),1h 36m,horror
Spin the Bottle,3.5, (1.1K),2h 4m,horror
Jimmy and Stiggs,6.2, (85),1h 20m,horror
Fear Cabin: The Last Weekend of Summer,3.0, (12),1h 17m,horror
Slay,6.5, (1.2K),1h 39m,horror
Peripheral,9.4, (32),1h 28m,horror
Baby Invasion,4.6, (590),1h 20m,horror
H. P. Lovecraft's the Old Ones,3.6, (413),1h 24m,horror
Sunrise,3.9, (1.2K),1h 33m,horror
Mr. Crocket,5.4, (4.9K),1h 28m,horror
Iconic,5.7, (438),1h 30m,horror
Conjuring the Cult,4.3, (936),1h 33m,horror
Possessions,3.8, (881),1h 29m,horror
Its Name Was Mormo,3.7, (164),1h 33m,horror
Anaconda,4.9, (674),1h 24m,horror
Scopophobia,5.4, (87),1h 40m,horror
Spiders on a Plane,4.7, (402),1h 18m,horror
The Soul Eater,5.8, (3K),1h 48m,horror
The Jack in the Box Rises,4.1, (833),1h 32m,horror
Strange Frequencies: Taiwan Killer Hospital,7.3, (74),1h 31m,horror
Dark Match,5.4, (1.2K),1h 34m,horror
Continente,5.2, (95),1h 55m,horror
Ghost Game,3.4, (370),1h 26m,horror
Riders,6.4, (511),1h 45m,horror
Crescent City,3.9, (1.5K),1h 43m,horror
The Bunker,4.3, (360),1h 32m,horror
Unspeakable: Beyond the Wall of Sleep,4.9, (126),1h 30m,horror
Chainsaws Were Singing,7.2, (387),1h 57m,horror
Heretics,3.9, (101),1h 23m,horror
Interlopers,5.0, (74),1h 46m,horror
Saint Catherine,3.5, (253),1h 26m,horror
Solvent,7.1, (454),1h 34m,horror
Cinderella's Curse,3.4, (1.4K),1h 22m,horror
Chain Reactions,7.1, (111),1h 43m,horror
Hell Hole,4.5, (1.3K),1h 32m,horror
X Files,2.3, (70),1h 14m,horror
Little Bites,4.7, (1.3K),1h 45m,horror
Barda,4.6, (672),1h 39m,horror
Dr. Sander's Sleep Cure,6.4, (1K),1h 42m,horror
Street Trash,4.5, (955),1h 25m,horror
Kuang Bao Ju Xi,5.6, (86),1h 15m,horror
Frankie Freako,5.6, (1.3K),1h 25m,horror
The Ceremony Is About to Begin,4.4, (823),1h 10m,horror
The North Witch,5.0, (52),1h 20m,horror
Terminator: Skynet Rising,6.7, (283),1h 28m,horror
Tantra,5.0, (2.4K),2h 16m,horror
Butchers Book Two: Raghorn,4.1, (667),1h 28m,horror
The Woods,4.0, (72),1h 16m,horror
Crackcoon,3.6, (452),1h 28m,horror
Mononoke the Movie: The Phantom in the Rain,6.7, (1.4K),1h 29m,horror
Scurry,7.6, (26),1h 30m,horror
I Heart Willie,6.1, (118),1h 28m,horror
Granny,8.0, (7),40m,horror
The Demon Disorder,4.8, (1.3K),1h 26m,horror
Trope,4.1, (37),1h 26m,horror
People in the Walls,3.2, (50),1h 33m,horror
Dirty Boy,7.8, (35),1h 38m,horror
Goldilocks and the Three Bears: Death and Porridge,2.1, (2K),1h 22m,horror
The Ruse,6.9, (422),1h 45m,horror
Sengkolo: Malam satu suro,5.8, (62),1h 40m,horror
Invasive,5.6, (801),1h 37m,horror
Sakaratul Maut,5.4, (190),1h 47m,horror
Else,5.9, (277),1h 42m,horror
Lumina,2.1, (710),1h 53m,horror
Hunting Matthew Nichols,8.8, (45),1h 36m,horror
Heresy,6.9, (316),1h 1m,horror
History of Evil,3.4, (834),1h 38m,horror
Cadi,6.3, (4.4K),2h 14m,horror
Stupid Games,4.2, (430),1h 26m,horror
Where is My Head?,6.8, (84),1h 30m,horror
The Mermaid,9.1, (16),1h 45m,horror
