Movie_name,Rating,Votes,Duration,genre
The Soul Eater,5.8, (3K),1h 48m,crime
What Jennifer Did,6.1, (12K),1h 27m,crime
Uninvited,5.6, (343),1h 33m,crime
Sons of Rizk 3,6.6, (1.8K),2h 5m,crime
Bhakshak,7.2, (7.3K),2h 14m,crime
Crescent City,3.9, (1.5K),1h 43m,crime
City Hunter,6.3, (5.8K),1h 42m,crime
Ulajh,6.0, (24K),2h 30m,crime
Where Is Gilgamesh?,8.9, (640),1h 30m,crime
Quotation Gang Part 1,8.7, (27),1h 58m,crime
Mond,7.0, (330),1h 32m,crime
Phir Aayi Hasseen Dillruba,5.8, (7K),2h 12m,crime
To a Land Unknown,7.3, (613),1h 45m,crime
How to Rob a Bank,6.6, (4.3K),1h 28m,crime
Gumasthan,5.8, (555),2h 25m,crime
Jailbreak: Love on the Run,6.4, (3.5K),1h 28m,crime
Silence 2: The Night Owl Bar Shootout,6.2, (1.9K),2h 22m,crime
Last Known Location,6.0, (1.4K),1h 50m,crime
Dirty Ice Cream,4.1, (136),47m,crime
Sayara,5.7, (296),1h 38m,crime
5lbs of Pressure,5.2, (1.7K),1h 51m,crime
Jigra,6.0, (24K),2h 33m,crime
Crisis Negotiators,6.7, (752),2h,crime
Midnight Taxi,5.2, (114),1h 37m,crime
Thalavan,7.2, (5K),2h 11m,crime
Hunt the Wicked,5.4, (183),1h 42m,crime
Breaking the Silence: The Maria Soledad Case,6.3, (546),1h 35m,crime
Vettaiyan,6.9, (40K),2h 43m,crime
How to Make a Killing,6.5, (1.5K),1h 49m,crime
Nico,8.2, (49),1h 49m,crime
Case of Kondana,5.8, (723),2h 23m,crime
Mafia Temptation,8.2, (7),1h 22m,crime
Abraham Ozler,6.6, (4.3K),2h 23m,crime
The Shameless,5.9, (319),1h 54m,crime
"I, the Executioner",6.3, (2K),1h 58m,crime
Here Now,4.9, (483),1h 58m,crime
Strictly Confidential,2.8, (879),1h 34m,crime
Bogota: City of the Lost,5.4, (2.1K),1h 48m,crime
The Smile Man,7.5, (1.8K),2h 2m,crime
Papa,7.5, (358),2h 11m,crime
Kingsmen,6.2, (55),1h 12m,crime
Strangers,4.3, (414),1h 46m,crime
Bloodline Killer,4.2, (5.2K),1h 45m,crime
Ride,5.9, (418),1h 54m,crime
Freedom,5.9, (1.5K),1h 50m,crime
Tillu Square,6.6, (3.5K),2h 17m,crime
Siren,6.4, (3K),2h 34m,crime
They Called Him Mostly Harmless,5.9, (3.3K),1h 29m,crime
Bangkok Dog,4.8, (246),1h 25m,crime
Scorched Earth,6.7, (629),1h 41m,crime
Hijack 1971,6.8, (3.5K),1h 40m,crime
Auron Mein Kahan Dum Tha,6.4, (41K),2h 30m,crime
Kaulayaw,4.1, (189),1h 35m,crime
Dead Wrong,3.7, (292),1h 44m,crime
Go for Broke,5.7, (287),1h 55m,crime
Jönssonligan kommer tillbaka,5.9, (1.6K),1h 44m,crime
Untamed Royals,4.6, (670),1h 39m,crime
Savi,6.1, (35K),2h 6m,crime
Nunakuzhi,6.8, (3.1K),2h 5m,crime
Wanted Man,4.8, (2.6K),1h 25m,crime
The Park Maniac,4.8, (1.6K),1h 43m,crime
Biggest Heist Ever,6.1, (1.6K),1h 25m,crime
Seeds,5.0, (232),1h 22m,crime
Visfot,5.7, (1.2K),2h 10m,crime
A Place Called Silence,6.5, (1.4K),1h 59m,crime
Broken Rage,6.1, (1.6K),1h 2m,crime
Bhaje Vaayu Vegam,6.1, (771),2h 16m,crime
Fluxx,6.0, (124),1h 40m,crime
The Lockdown,4.3, (630),1h 57m,crime
The Kingdom,7.0, (152),2h 13m,crime
Sorgavaasal,6.6, (1.4K),2h 18m,crime
Nefarious,7.2, (57),1h 25m,crime
Mathu Vadalara 2,7.0, (1.8K),2h 19m,crime
Una ballena,5.6, (175),1h 48m,crime
Kurukku,6.3, (541),1h 49m,crime
Kondal,5.3, (801),2h 27m,crime
High Forces,5.8, (588),1h 59m,crime
Second Life,6.8, (60),1h 45m,crime
Nice Girls,4.2, (1.2K),1h 32m,crime
Mr. Bachchan,3.6, (5.3K),2h 30m,crime
Vina: Before 7 Days,5.4, (611),1h 40m,crime
Satyabhama,5.9, (1.6K),2h 12m,crime
